id,strain,time,concentration,count,mean,std
LGzLAl7Pi43Qv9_fots,MUCRB1,6,3,234,0.03220514721014396,0.0022853212623825717
LGUtf9KGvYcqDiG0oUl,MUCRA1,3,4,27,0.05948202356070302,0.008705056617566929
cntjma2qmq79vud094fwu,MucATn,0,8,187,0.03742379667726318,0.006916218542301206
LIfbzx_rAavNgXXVFA5,MUCRKO,0,10,213,0.03939540019462777,0.011597468080151153
vh6l88flm9evgv8uw9pv7,MucATn,3,4,57,0.03414186217194338,0.007142470037632165
LGK5Qa00KwPC9PGsIJe,MUCRB1,24,2,81,0.06148670912972844,0.006219023078047908
kj7u1o9m3vn61tj51oqd3n,MucATn,6,3,250,0.032299838620185976,0.004270095364206062
LGUtf9L4PMpsHasPW85,MUCRA1,3,4,22,0.06765488627468352,0.006781984041450488
LIfhhsLl51Km6V8Efm8,MUCRKO,6,4,518,0.027174083088073366,0.005346153400127952
LGK5QalwKLwivuYhBPR,MUCRB1,3,2,177,0.05013400068412733,0.006210885972801574
LGKJ2IPZboIpyNpRV-W,MUCRA1,3,4,35,0.05726987345303421,0.007036157422121116
49351ygso0nbw2vauxqm25,MucATn,24,4,67,0.042039421978049434,0.0050676790647068756
5wa8qoqrar4ra1dbhcrqvn,MucATn,1,2,81,0.04106784621418238,0.0037137660439068737
LIeVhUgmR8g6eYN0qLN,MUCRKO,1,2,105,0.031405765074335984,0.008705657055927659
LI_eCvG-6qFaysl8k9U,MUCRKO,24,3,217,0.03163602105488758,0.008596800876071953
LFlqrIdhOM3rPUUmSdD,WT,24,4,3,0.11996825444942372,0.023850269010702575
mmygo8io9xyr7u85smc6p,MucATn,1,2,109,0.040798014472925,0.004918092056648362
LGKJ2IeYLUukUchc4YZ,MUCRA1,6,4,62,0.054829232256429924,0.007648503626595891
LGKJ2Icc-Wdh4mK3UP,MUCRA1,6,4,80,0.048085336879266104,0.004419039420376761
LGKJ2J0wSah67dT8UhK,MUCRA1,24,2,342,0.03227479186252853,0.0024697654004245556
LI_eCvB-I4-0j3reS7k,MUCRKO,0,8,61,0.05412229741105743,0.016679287487897557
LIuBp9vyDy2-dSU0Dxo,MUCRKO,6,3,269,0.027447927921843952,0.006571968550498778
LFlqrIL0hHWbf-qCX5w,WT,24,4,7,0.16577066557285525,0.040764665136192875
LGKJ2IuqSVLghRQvKVF,MUCRA1,24,2,313,0.035366928780200625,0.0013511031427313356
LI_eCuDtIGuvqxAMyMl,MUCRKO,1,2,82,0.0444654420941072,0.012765006293101197
6yg0nexld1wd9ryj9vwcxg,MucATn,6,3,168,0.03356168937062971,0.005754372417563618
2j3tkge10gyavrhgsx4g7b,MucATn,0,8,233,0.03611826816852992,0.006815355957279605
2trxknfqta44r1azp5bp0a,MucATn,0,12,30,0.04953178123149461,0.009189148139062922
LGLUBGAFlMym-elC5lW,MUCRB1,0,8,10,0.08853454017937748,0.011170297961842959
LGzLAlZGDxhzkYihaMY,MUCRB1,0,10,288,0.03675662060822566,0.005576266014557564
LI_K6DUBIujGXZV80MV,MUCRB1,0,10,281,0.0408162810381896,0.006131005560416387
LGKJ2GxQ64rrzD-KSD3,MUCRA1,0,10,258,0.03944272313351241,0.003961499698205319
ivxzauofppn4s31ip306nw,MucATn,0,8,162,0.043298195244348026,0.006026271596672623
LGKJ2ITchb09GaLAizU,MUCRA1,1,2,257,0.037826190077863926,0.0031202479780310195
LGKJ2IJOV8XPeKNk_aE,MUCRA1,0,10,234,0.04079254055009475,0.004545932519844603
eznb8j27an6xunpstjxrz8,MucATn,24,4,93,0.03586018799411878,0.0080568154114668
LGK5QavRPMxMV9Uxbrk,MUCRB1,1,2,44,0.06998526213400388,0.0062186984890916525
LGLUBFCzAcvEruYgheQ,MUCRB1,1,2,77,0.0587654748682414,0.006266869345349195
LGK5QawuISfmeBkidiB,MUCRB1,1,2,53,0.06001168794798159,0.007448190054459064
LFllPv2Y2PLLB32eYuJ,WT,0,11,148,0.04668432178879413,0.007011824243352752
LI_eCuZCuEmX6LE7LtJ,MUCRKO,3,3,142,0.0477108331692186,0.011045416468072163
LGLUBGg1G77xm2hR97l,MUCRB1,3,3,192,0.04551054898307935,0.005578060836957944
f8an2l4q0f6cb2grcwudeh,MucATn,3,4,112,0.025678722749626643,0.008269534401322021
LIkjJLf-GWK9x0nNPyA,MUCRKO,1,2,102,0.03282875245381008,0.008936453625192254
LIfbzxVhLOKBACnJXfA,MUCRKO,0,10,216,0.03855004406798681,0.011802334160793989
LGLUBFx9xnMVmmu1HG1,MUCRB1,0,8,8,0.08412086535503017,0.011012087218388094
n2xh4qd2pwh3co2sm0p3rd,MucATn,0,14,182,0.04144584563824601,0.006726897508845078
5kzwgehoywabmc2weh05eu,MucATn,1,2,68,0.04356112563925849,0.004316674517609521
LGUtf8dtMRC6pTT2bTh,MUCRA1,0,12,330,0.04033250841664966,0.003906184152485387
LGLUBFOCOKCtkgXnQ14,MUCRB1,1,2,101,0.050134021904797516,0.005940520712591578
LGK5Q_cpO_BWZaSnsOG,MUCRB1,24,2,91,0.05505349605576683,0.007931951942010913
LIfbzxBRX7KM_0OBL73,MUCRKO,24,3,206,0.027267867011836595,0.0070687543668910705
LGUtf9a9Bf5mByUk4c5,MUCRA1,24,3,239,0.032335559525783986,0.0027862334038179252
LGUtf8N1EDXz46s30uq,MUCRA1,1,2,112,0.04500199304320004,0.0031748909456808835
LGK5QasFUTSF8BvlzGz,MUCRB1,24,2,94,0.05839636939907087,0.008645664863149086
LIk_EWD9iihk7oVdRTd,MUCRKO,6,4,224,0.033695162508778666,0.009262220658393433
LGGe_iMZoXKaqRpbYeR,MUCRA1,1,2,100,0.06280962754708423,0.011509169196923193
LGK5Qaydg80jvhQW2dx,MUCRB1,3,2,128,0.05827689124431104,0.006075330325550688
LGLUBGLU3P_ApbKPcz1,MUCRB1,24,3,285,0.031537012387341024,0.0023020695120975795
LFlqrJdA4z1XlUQD8nH,WT,24,4,60,0.05464692756243926,0.008231376606327405
LGLWdewDph3U2HNLv0Q,MUCRB1,6,3,467,0.030524338691032233,0.0023985747235092327
LFllPu2Bn6bKBx6w2zO,WT,0,11,181,0.04542941873179482,0.004366870566055658
LIkftAcC7tBcyWOTemk,MUCRKO,6,4,209,0.03095293647463248,0.0068944972698751755
LGLWdfqtTo0rS1PHeOH,MUCRB1,24,3,261,0.03322454861802547,0.004039684151389686
LIfbzwleS4ire-liwSL,MUCRKO,0,10,179,0.04123692999464854,0.011319695692402279
LGzLAjqRsvncH0y1G3D,MUCRB1,1,2,49,0.05157757148752451,0.0071757464784911575
LGKJ2IpmXXsb1sLU6Nx,MUCRA1,1,2,280,0.03679067681962814,0.002165387074535059
LGGe_iuBM48LTleo9GJ,MUCRA1,3,3,134,0.05497302109833246,0.005722742683003219
LI_eCv93mWGiJbxILKr,MUCRKO,0,8,78,0.054503460479158564,0.014758412717609885
LGUtf9A6M2EZcOOjsLs,MUCRA1,0,12,324,0.03635417181494388,0.003109469558647786
LFsJ4zM5mmx6dzqukfH,MUCRA1,0,8,20,0.11544743973409535,0.015831721405356724
LIkft9mzS8AxXtH5boF,MUCRKO,3,3,78,0.040261497569123415,0.010246888108549384
LGzLAlxo3oh2nI8aBpf,MUCRB1,24,3,154,0.03325052806945017,0.0032696185182679006
s2vpqwwtril66pr1359ch,MucATn,6,4,103,0.028937789664643155,0.006137822937809383
LFlqrJOeHJofFl0Qmn_,WT,24,4,32,0.06027009251097222,0.015603467990199925
LFsNITh0nH1wp6YO2aH,MUCRA1,6,3,40,0.10341225501865976,0.0237589771018608
LGzLAlsB_Z7o2RPKOR3,MUCRB1,6,3,195,0.032090892946336054,0.0032119644082590007
01tdhga1glvqqxltkp19k1r,MucATn,24,4,47,0.04294692837209443,0.007080675000788604
LFsJ4zAMzTpnic0KvU,MUCRB1,0,12,50,0.08999557513394234,0.02011660747551373
LGGe_jFalRnRd-Y3NMJ,MUCRA1,24,2,152,0.04898455482564407,0.005287498579577354
LFlqrIrU7yUwOQeYUM,WT,24,4,35,0.05857633023519274,0.012411502087726496
LGzLAllAYF6ei24a_CD,MUCRB1,24,3,158,0.0363619474075321,0.0030421761109959925
em6xc75jqjowv12mwvrnr,MucATn,24,4,71,0.03805607751806671,0.006005598980644261
LGGe_jDfy0qaU2HnDwh,MUCRA1,3,3,146,0.05206277375448537,0.005808740066503341
LFlqrJZXUA1bnJ836Ua,WT,24,4,55,0.05936746947174127,0.009920190440334013
yhzwz0qhoim9bae6u8ctt4,MucATn,24,3,84,0.0447931331217323,0.006229787518387282
LGLUBGa7xPKTffkbUp7,MUCRB1,6,3,500,0.030486590949851552,0.0023978475603027784
LIkjJLJwnDue1jb54p-,MUCRKO,1,2,109,0.02856707415259791,0.008873818096497111
LFsJ4zakuJOJHc6f2SF,MUCRA1,0,8,20,0.1353498303576058,0.027512803898497147
LI_eCv2wL0UB7mcQqTQ,MUCRKO,1,2,71,0.039884841721253686,0.010960269733359366
gxrtxd17nort7aym976n9,MucATn,6,3,233,0.031463613290373046,0.0034726531311509586
LIfbzxRJuFJ2Bo-pfG1,MUCRKO,3,3,108,0.036350894290834754,0.009692372225117572
LIqK0032J_EOmXZ1EYV,MUCRKO,6,3,267,0.02838934684315135,0.006511219485520929
LGUtf92trQKrRKxkLSD,MUCRA1,0,12,352,0.036155470756242196,0.003091450513838957
